"county","state","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Pierce","ND",4038,50.4,49.6,4.2,22.7,23.4,92.4,0.3
"Ramsey","ND",11638,50.5,49.5,2.7,24,20.4,82,0.6
"Ransom","ND",5679,51.6,48.4,4.2,23,20.7,93.7,0.9
"Renville","ND",2328,52.6,47.4,3.2,25.9,17.6,98.3,0
"Richland","ND",16546,51.6,48.4,2.8,22.4,17.9,90.8,0.7
"Rolette","ND",12508,49.4,50.6,1.8,34.3,11.5,16.6,0.7
"Sargent","ND",3839,54.2,45.8,2.8,21,22.3,92.9,2.2
"Sheridan","ND",1328,51.4,48.6,3.8,16.4,32,96.2,0
"Sioux","ND",3993,50,50,0.2,36.8,8,11.2,0.2
"Slope","ND",775,54.2,45.8,2.3,20.3,25.5,96.3,0
"Stark","ND",32710,52.2,47.8,1.9,27.4,13,88.7,2.2
"Steele","ND",1870,53.2,46.8,3.4,22.7,23.8,94.7,0.4
"Stutsman","ND",21678,51.1,48.9,2.8,20.6,19.1,93.1,1.6
"Towner","ND",2190,50.7,49.3,3.2,21.9,24.3,88.3,0.5
"Traill","ND",8008,51.1,48.9,4,22.9,19.3,93,0.7
"Walsh","ND",10631,51.3,48.7,4,23.3,20.9,91.2,0.7
"Ward","ND",69686,52.4,47.6,1.9,23.9,12.6,84.2,4.2
"Wells","ND",4031,48.2,51.8,5.1,21.8,25.1,97.9,0
"Williams","ND",38460,54.6,45.4,1.7,29.5,9.2,79.9,4.8
"Adams","NE",31284,49.7,50.3,2.6,24.2,17.7,90.3,0.7
"Antelope","NE",6310,50.5,49.5,4.1,24,23.3,96.4,1.2
"Arthur","NE",472,48.5,51.5,1.5,28.6,25.8,93.6,0
"Banner","NE",605,51.7,48.3,2.6,19.2,31.7,92.9,0
"Blaine","NE",346,53.5,46.5,9.5,13.9,34.4,100,0
"Boone","NE",5413,50.9,49.1,3.9,24,22.3,97.8,0.1
"Box Butte","NE",10821,50.4,49.6,2.1,25.4,18.5,86.9,3.2
"Boyd","NE",1812,50.2,49.8,4.8,19.2,32,93,0.3
"Brown","NE",2752,48.4,51.6,3.7,20.2,28.1,94.9,0
"Buffalo","NE",49840,50.1,49.9,2.2,23.5,14.8,89.8,0.8
"Burt","NE",6705,49.7,50.3,3.9,23.1,23.9,93,0.2
"Butler","NE",8354,50.1,49.9,3,23.8,20.3,95,0.1
"Cass","NE",26546,50.7,49.3,2.2,24,17.5,94.4,0.2
"Cedar","NE",8401,50.7,49.3,4.7,25.8,21.3,96.6,0.1
"Chase","NE",3694,47.5,52.5,3.7,23.9,24.1,90,0.3
"Cherry","NE",5505,51.2,48.8,4.7,24,20.6,87,0.2
"Cheyenne","NE",9575,49.6,50.4,3.2,23.3,19.8,93.1,0.8
"Clay","NE",6104,50.9,49.1,2.5,24.9,20.1,92.9,0.4
"Colfax","NE",10608,56,44,1.9,30.8,12.9,69.5,2.7
"Cuming","NE",9035,50.4,49.6,3.2,24.9,21.3,90.4,0.5
"Custer","NE",10625,50.3,49.7,2.7,24.3,21.8,95.4,0.5
"Dakota","NE",21284,50.1,49.9,1.8,29.3,13.6,55.8,7.6
"Dawes","NE",8383,48.4,51.6,2.8,18.7,18,86.9,4.6
"Dawson","NE",24031,51.5,48.5,2.4,27.4,16.3,76,6.6
"Deuel","NE",1878,47.5,52.5,3.7,19.6,22.1,91.2,0.1
"Dixon","NE",5632,51,49,1.7,25.2,20.3,88.1,0.1
"Dodge","NE",37249,49.8,50.2,3,24.6,18.9,91.5,0.7
"Douglas","NE",578771,49.6,50.4,1.5,25.7,13.1,75.4,10.7
"Dundy","NE",1900,52.9,47.1,3.5,24.3,19.1,98,0.2
"Fillmore","NE",5561,49.1,50.9,3.9,20.3,22.8,94.8,0.2
"Franklin","NE",2914,50.4,49.6,5.6,20,26.8,95.8,0.3
"Frontier","NE",2512,53.2,46.8,3.7,19.9,24.9,95.1,1
"Furnas","NE",4655,49.8,50.2,3.3,22.8,24.6,96.7,0.4
"Gage","NE",21706,50.7,49.3,4,22.7,20.7,96.2,0.6
"Garden","NE",1726,49.6,50.4,5,20.7,30.7,97.7,0
"Garfield","NE",1889,50.1,49.9,4.1,21.7,26.2,96.6,0.3
"Gosper","NE",1811,52.2,47.8,2.4,18.7,27.6,97.7,0.2
"Grant","NE",718,56.1,43.9,3.1,26.3,19.5,98.1,0.4
"Greeley","NE",2219,50,50,6,23.4,25.4,96.6,0.6
"Hall","NE",62616,50.9,49.1,2.3,27.7,14.9,75.8,3.2
"Hamilton","NE",9376,50.8,49.2,2.4,23.9,19.8,95.3,0.2
"Harlan","NE",3216,50.8,49.2,3.9,23.9,24.4,95.1,0.1
"Hayes","NE",891,49.8,50.2,4.3,24.7,21.4,96.6,0
"Hitchcock","NE",2630,52.6,47.4,3.3,25,25.2,95.8,0.1
"Holt","NE",10175,50.1,49.9,4.4,24.9,21.5,96.2,0.4
"Hooker","NE",714,47.2,52.8,5.2,22.4,25.9,92.2,0.6
"Howard","NE",6461,51,49,3.8,24.7,21.1,93.4,0.4
"Jefferson","NE",7213,48.3,51.7,3.3,22,23.7,96.1,0.6
"Johnson","NE",5298,61.1,38.9,2.4,19.6,17.8,81.4,5.8
"Kearney","NE",6639,49.9,50.1,3.4,26,19.3,95.5,0
"Keith","NE",8312,50.6,49.4,4.4,21.2,27.6,93.2,1.4
"Keya Paha","NE",946,51.2,48.8,3.4,24.6,21.8,97.3,0.1
"Kimball","NE",3583,52.1,47.9,3.5,20.7,24.1,92.8,0.3
"Knox","NE",8434,49.8,50.2,3.3,24.9,24.4,86.3,0.5
"Lancaster","NE",320301,50.4,49.6,1.6,22.9,14,84.1,3.8
"Lincoln","NE",34906,49.7,50.3,2.4,23.9,19.3,91.6,1.1
"Logan","NE",865,54.1,45.9,2,29.5,19.2,91.9,0
"Loup","NE",665,53.7,46.3,1.4,23.6,24.1,87.7,0
"Madison","NE",35553,49.8,50.2,2.9,25.6,15.6,86.1,1.3
"McPherson","NE",475,50.9,49.1,1.5,16.8,28.6,98.9,0
"Merrick","NE",7687,50.7,49.3,3.3,22.6,21.1,93.9,0.1
"Morrill","NE",4595,52.7,47.3,2.5,23.8,20.1,89.2,0.1
"Nance","NE",3389,50.4,49.6,3.4,23.8,20.6,95.7,0.6
"Nemaha","NE",7025,50.5,49.5,2.7,21.5,20,92.2,1.7
"Nuckolls","NE",4125,49.8,50.2,2.9,20.5,26.7,96.5,0.2
"Otoe","NE",15916,51.2,48.8,3.1,24.4,19.6,89.2,0.7
"Pawnee","NE",2564,48.5,51.5,4.7,22.6,27.9,96.8,0.2
"Perkins","NE",2865,51.7,48.3,4,24.8,23.5,96.2,0.1
"Phelps","NE",8972,50.4,49.6,3,24.3,20.4,94,0.2
"Pierce","NE",7266,50.2,49.8,2.5,25.6,19.1,96.4,0.4
"Platte","NE",34123,50.9,49.1,2.4,26.4,17.5,87.6,0.8
"Polk","NE",5223,49.1,50.9,4.3,22.9,22.1,94.7,0
"Red Willow","NE",10724,49.9,50.1,3.8,24,20.1,93.4,0.4
"Richardson","NE",7893,51.3,48.7,4.6,21.2,23.9,92.3,1.3
"Rock","NE",1321,52.2,47.8,5.1,22.3,24.5,98.3,0.7
"Saline","NE",14395,51.6,48.4,2.1,25.8,14.3,84.3,1
"Sarpy","NE",188464,50.3,49.7,1.3,27.4,11.8,84.4,4.1
"Saunders","NE",22008,51,49,2.4,24.8,18.1,96.4,0.9
"Scotts Bluff","NE",36229,48.6,51.4,3.3,25.1,19,84.9,0.6
"Seward","NE",17605,51.5,48.5,2.8,23.5,17.2,96,0.6
"Sheridan","NE",5150,49.3,50.7,4.8,22.4,25.6,81.8,1.2
"Sherman","NE",2986,50.6,49.4,4.9,20.8,27,96.5,0.2
"Sioux","NE",1081,51.2,48.8,3.5,22.7,22.1,89,3.6
"Stanton","NE",5877,51.3,48.7,3.1,25.4,18.2,94.4,1
"Thayer","NE",5053,49.8,50.2,4.6,23.9,25.2,95,0.2
"Thomas","NE",562,44.5,55.5,0.5,16.9,29.5,93.1,0
"Thurston","NE",6806,49.4,50.6,1,36.5,11.7,36.2,0.2
"Valley","NE",4031,49.3,50.7,1.8,22.3,25,98.2,0.2
"Washington","NE",20699,49.6,50.4,1.8,24.2,18.1,95.9,0.9
"Wayne","NE",9590,50.4,49.6,2.8,20,16.1,93.9,1.1
"Webster","NE",3442,50.7,49.3,3.6,22.4,22.6,94,0.2
"Wheeler","NE",735,50.3,49.7,3.8,16.7,31.4,99,0
"York","NE",14164,50.1,49.9,2.5,23.5,19.9,93.4,1.5
"Belknap","NH",63395,49.3,50.7,2.8,18.4,22.1,95.3,0.6
"Carroll","NH",49961,50.4,49.6,2.6,15.6,28.5,96,0.5
"Cheshire","NH",76473,49.3,50.7,2.6,18.1,20.1,94.4,0.8
"Coos","NH",31360,53.9,46.1,2.6,16.1,23.8,95.5,2.2
"Grafton","NH",91025,49.2,50.8,2.6,16.2,20.8,90.7,1.3
"Hillsborough","NH",420504,50,50,1.8,20.4,15.8,86.4,2.8
"Merrimack","NH",152983,49.6,50.4,2.1,19.1,18.4,92.7,1.6
"Rockingham","NH",312771,49.8,50.2,1.8,19.3,18.1,93,0.9
"Strafford","NH",130598,49.3,50.7,1.9,18.4,15.2,90.7,1.1
"Sullivan","NH",43105,50,50,2.3,18.6,21.6,95.7,0.6
"Atlantic","NJ",273865,48.7,51.3,2,21.3,18.2,61.7,13.7
"Bergen","NJ",952979,48.9,51.1,2.7,21.3,17.2,66,5.8
"Burlington","NJ",460102,49.5,50.5,2.2,20.9,17,69.3,16.8
"Camden","NJ",521194,48.5,51.5,1.9,22.9,15.6,60.4,19.1
"Cape May","NJ",95488,49.1,50.9,2.8,17.6,26.8,88.9,3.9
"Cumberland","NJ",154921,51.2,48.8,1.9,24.2,15.2,61.1,19.9
"Essex","NJ",852720,48.4,51.6,1.9,23.9,13.6,38,38.6
"Gloucester","NJ",300821,48.9,51.1,1.9,21.9,15.9,79.8,10.3
"Hudson","NJ",713264,50,50,1.4,20.5,11.9,46.1,12
"Hunterdon","NJ",128807,49.8,50.2,2.4,19.3,18.8,87.4,2.9
"Mercer","NJ",384951,49.2,50.8,2,21.5,15.3,57.4,20.1
"Middlesex","NJ",858770,49.6,50.4,1.9,21.9,15.1,51.4,10.2
"Monmouth","NJ",642160,49,51,2.3,21.2,17.7,80,6.6
"Morris","NJ",508347,49.5,50.5,2.6,21.1,17,76.9,3.3
"Ocean","NJ",630057,48.6,51.4,3.1,24.5,22.2,88.5,3.1
"Passaic","NJ",521067,49.1,50.9,1.8,24,14.6,55.7,10.9
"Salem","NJ",64752,49.4,50.6,2.7,21.7,18.5,77.8,14.4
"Somerset","NJ",343950,49.2,50.8,2.2,21.8,15.8,60.9,9.7
"Sussex","NJ",144492,50.2,49.8,1.7,19.7,17.6,89.2,2.3
"Union","NJ",571963,49.2,50.8,1.9,23.6,14.3,48.3,21.1
"Warren","NJ",109354,49.4,50.6,2.6,19.7,18.3,84.5,4.6
"Bernalillo","NM",674919,49.2,50.8,2,21.7,16.4,65.6,2.9
"Catron","NM",3581,52.2,47.8,9.7,12.9,42.3,91.3,0.4
"Chaves","NM",65014,50.2,49.8,2.1,26.2,15.4,74.5,1.5
"Cibola","NM",27284,50.2,49.8,1.7,23.4,16.9,44.4,1.6
"Colfax","NM",12406,50.4,49.6,3.5,18.4,27.2,79.3,0.8
"Curry","NM",48716,51.6,48.4,1.7,26.6,12.4,62.6,5.3
"De Baca","NM",1873,55,45,1.9,38.7,15.7,48.9,2.6
"Do\u00F1a Ana","NM",218157,49.4,50.6,1.7,24.5,15.7,67.6,1.9
"Eddy","NM",61096,51.1,48.9,1.8,26.8,14.3,78.2,1.5
"Grant","NM",28178,50.2,49.8,3.6,19.7,27.8,80.2,0.9
"Guadalupe","NM",4465,59.3,40.7,3.7,19,19.1,61,1.9
"Harding","NM",533,47.3,52.7,4.1,12.9,27,56.3,0
"Hidalgo","NM",4214,49,51,1.8,22,22.1,77.6,0.7
"Lea","NM",72743,51.6,48.4,1.4,30.4,11,71.5,4.2
"Lincoln","NM",20084,47.5,52.5,2.5,17.5,28.9,83.4,0.8
"Los Alamos","NM",19169,51.2,48.8,2.5,22.1,17.4,81.3,1.1
"Luna","NM",25282,51.1,48.9,2.6,27,20.3,74.6,1.8
"McKinley","NM",72946,48.5,51.5,1.4,28.7,12.4,11.5,0.5
"Mora","NM",4232,43.9,56.1,2.3,11.5,32.9,57.3,0
"Otero","NM",67298,51.9,48.1,2.2,23.2,17.1,69.6,3.4
"Quay","NM",8675,47.1,52.9,3.8,22.8,24.7,75.3,2.5
"Rio Arriba","NM",40347,49.4,50.6,2.3,23.2,19.5,41.4,0.6
"Roosevelt","NM",19223,50.3,49.7,1.8,24.4,14.3,70,2.3
"San Juan","NM",122912,49.7,50.3,1.9,26.4,14.9,47,0.8
"San Miguel","NM",27357,49.8,50.2,2.8,18.2,21.9,58.5,1.6
"Sandoval","NM",147327,49.3,50.7,1.6,23.1,18,65.3,2.2
"Santa Fe","NM",153632,48.7,51.3,2.2,17.8,24.7,74.1,1
"Sierra","NM",11512,49.9,50.1,4.4,15.9,35.1,82,0.3
"Socorro","NM",16605,52.1,47.9,1.8,22.6,19.6,66.8,0.8
"Taos","NM",34322,49.2,50.8,1.4,17.5,26.8,72.1,0.1
"Torrance","NM",15150,51.8,48.2,1.1,21.3,21,74.2,2.5
"Union","NM",4122,54,46,2.9,20.6,20.9,76.9,1.2
"Valencia","NM",75992,50.5,49.5,1.8,23.4,17.9,68.7,1.6
"Carson City","NV",57957,51.6,48.4,2.7,20.6,20.2,76.7,2
"Churchill","NV",25077,51.6,48.4,1.9,22.4,18.9,79.6,2.4
"Clark","NV",2231147,50.1,49.9,1.3,23.2,14.8,53.1,12
"Douglas","NV",49158,50.7,49.3,2.7,16.3,29,84.6,0.7
"Elko","NV",53420,52.5,47.5,0.9,26.9,11.8,75.6,1.1
"Esmeralda","NV",987,49.2,50.8,1.2,10.3,26,94.3,1.1
"Eureka","NV",1603,49.3,50.7,2.1,31.6,20.9,91.5,0.1
"Humboldt","NV",17218,52.4,47.6,1.1,26.6,15.8,78.5,0.9
"Lander","NV",5729,55.9,44.1,1.6,25.8,14.4,90.8,2.4
"Lincoln","NV",4600,57.4,42.6,1,19.8,20.2,84.9,4.9
"Lyon","NV",58029,51.3,48.7,1.5,21.2,20.9,80.5,1.2
"Mineral","NV",4552,45.5,54.5,1.7,19.4,26.4,65.6,3.1
"Nye","NV",50096,50.9,49.1,2.3,16.8,29.7,77.9,2
"Pershing","NV",6668,65.2,34.8,0.8,16.8,15.5,74.8,3.2
"Storey","NV",4047,52.9,47.1,2.3,16.9,34.5,84.1,2.4
"Washoe","NV",479758,50.7,49.3,1.6,21.6,16.4,70.7,2.4
"White Pine","NV",9192,60.4,39.6,1.6,18.6,18.2,82,7.3
"Albany","NY",314679,48.6,51.4,2.4,18.5,17,73.7,12.1
"Allegany","NY",46654,50.6,49.4,2.5,20.4,19,95,1.9
"Bronx","NY",1468262,47.4,52.6,1.7,24.9,13,19.9,34.5
"Broome","NY",198591,49.5,50.5,3,19.5,19,84.2,5.3
"Cattaraugus","NY",77211,50.1,49.9,2.3,22.3,19.3,91,1.4
"Cayuga","NY",76644,51.6,48.4,2.4,19.7,19.2,90.1,4
"Chautauqua","NY",128042,49.7,50.3,2.9,20.5,20.2,89.8,2.8
"Chemung","NY",84456,49.9,50.1,3.2,21.4,18.8,86.9,6
"Chenango","NY",47407,50.2,49.8,2.5,20.9,20.6,95.5,0.7
"Clinton","NY",80095,51.7,48.3,1.9,18.1,17,90.4,4
"Columbia","NY",61587,50.3,49.7,2.9,17.1,24.2,87,4.1
"Cortland","NY",46984,49.3,50.7,1.9,19.2,16.2,93,2
"Delaware","NY",44644,50.7,49.3,3.1,16.6,24.6,93.4,1.8
"Dutchess","NY",296012,50,50,2.4,18.8,17.7,75.3,10.6
"Erie","NY",949715,48.7,51.3,2.6,20.4,18,76.5,12.8
"Essex","NY",37501,52.2,47.8,3.1,16.1,23.5,92.3,3.2
"Franklin","NY",47996,54.6,45.4,1.5,19.3,16.9,81.9,5.1
"Fulton","NY",53588,50.1,49.9,2.3,20.4,19.6,92.2,1.5
"Genesee","NY",58387,50.4,49.6,2.4,20.6,18.8,91.2,2.2
"Greene","NY",48026,52.7,47.3,3.5,16.4,22.4,87.4,5.6
"Hamilton","NY",5068,50.6,49.4,2.6,14,31.3,93.2,1
"Herkimer","NY",60596,49.9,50.1,2.7,20.7,20.7,94.4,1.2
"Jefferson","NY",117634,52.6,47.4,1.5,24.3,13.7,84.8,5.9
"Kings","NY",2712360,47.6,52.4,1.8,22.9,14.1,42.1,30.5
"Lewis","NY",26681,50.4,49.6,2.5,23.3,19,95.2,1.6
"Livingston","NY",62253,50.8,49.2,2.1,17.8,17.9,91.2,2.8
"Madison","NY",68466,49.6,50.4,2.3,19,18.6,92.9,1.5
"Monroe","NY",757332,48.5,51.5,2.4,20.9,17.4,73.9,14.8
"Montgomery","NY",49539,49.6,50.4,2.7,23.2,18.5,85,2.9
"Nassau","NY",1391678,49.1,50.9,2.8,21.7,17.7,64.6,11.5
"New York","NY",1669127,47.6,52.4,2.4,14.5,16.8,53.6,14
"Niagara","NY",212808,49,51,2.7,20.2,19.2,86.2,6.8
"Oneida","NY",232034,50.2,49.8,2.8,21.4,18.7,83.8,6.1
"Onondaga","NY",474621,48.5,51.5,2.4,21.4,17.1,78,10.9
"Ontario","NY",112060,49.2,50.8,2.3,20.1,20.1,91.3,2.3
"Orange","NY",398277,50.4,49.6,1.7,25.7,13.9,70.7,11
"Orleans","NY",40588,50.3,49.7,1.9,19.2,17.9,87.8,5.7
"Oswego","NY",118019,50.3,49.7,1.9,21.1,16.5,94,1.1
"Otsego","NY",58952,48.8,51.2,2.7,16,21.1,92.2,2
"Putnam","NY",97960,50.3,49.7,1.7,19.8,17.7,83.2,3.5
"Queens","NY",2393104,48.8,51.2,2.1,20.2,16,33.6,17.8
"Rensselaer","NY",161125,49.7,50.3,2.1,19.5,17.2,84,6.5
"Richmond","NY",493194,48.8,51.2,1.9,22,16.3,69.4,10.1
"Rockland","NY",336485,49.4,50.6,2.1,28.8,15.5,69.4,11.5
"Saratoga","NY",235010,49.6,50.4,1.9,19.9,18.2,91.3,1.7
"Schenectady","NY",157515,49,51,2.4,21.8,17.1,74,9.8
"Schoharie","NY",29936,50,50,2.6,17.8,22,92.5,1.7
"Schuyler","NY",17920,50.4,49.6,2.7,19.2,21.3,95.3,0.9
"Seneca","NY",33900,52.7,47.3,2.6,20.1,19.2,89.7,5.2
"St. Lawrence","NY",108836,51.3,48.7,2.1,20.3,17.4,92.3,2.7
"Steuben","NY",94153,50.2,49.8,2.5,21.7,19.5,93.8,1.6
"Suffolk","NY",1522998,49.5,50.5,2.3,21.2,16.9,76.3,7.5
"Sullivan","NY",78230,51.4,48.6,1.5,21.4,18.8,76.8,8.4
"Tioga","NY",48567,49.9,50.1,2.5,20.9,20.2,95.4,0.9
"Tompkins","NY",105638,49.7,50.3,1.7,14.4,14.6,79.2,4
"Ulster","NY",181862,49.9,50.1,2.4,17.7,19.9,80.1,6
"Warren","NY",65692,49.5,50.5,2.9,18.2,22.5,94.4,1.4
"Washington","NY",61504,52.2,47.8,2.5,18.9,19.5,92.2,3
"Wayne","NY",91332,50,50,2.2,21.5,18.9,90.7,2.2
"Westchester","NY",999723,48.7,51.3,2.7,22,17.1,59.9,14.6
"Wyoming","NY",40679,53.4,46.6,2.2,20.1,18.1,90.2,4.2
"Yates","NY",24808,48.3,51.7,2.6,22.7,20.8,96.2,0.8
"Adams","OH",27564,50.1,49.9,1.3,24.2,17.8,96.7,0.4
"Allen","OH",102462,50.8,49.2,2.2,23.3,17.6,81.5,11.1
"Ashland","OH",52658,49.3,50.7,2.3,22.6,18.6,95.8,0.9
"Ashtabula","OH",97869,50.6,49.4,2.3,22.2,19.2,91.3,3.7
"Athens","OH",62933,49.7,50.3,1.6,14.6,13.3,90.9,2.5
"Auglaize","OH",46282,49.5,50.5,2.6,24.3,18.1,96.1,0.8
"Belmont","OH",67077,51.5,48.5,2.6,19,20.7,92.7,3.1
"Brown","OH",43694,49.9,50.1,2.4,23.1,18.1,97,0.7
"Butler","OH",387830,49.3,50.7,1.8,23.6,14.8,81.7,7.8
"Carroll","OH",26866,51,49,2.1,20.6,21.2,96.1,0.8
"Champaign","OH",38678,49.9,50.1,1.6,22.3,18.3,93.4,1.9
"Clark","OH",136032,48.7,51.3,2.4,22.6,19.3,85.6,8.1
"Clermont","OH",207650,49.6,50.4,1.7,23,16.6,93.9,1.3
"Clinton","OH",42046,49.8,50.2,1.8,23.2,16.9,93.6,1.7
"Columbiana","OH",102331,50.5,49.5,2.5,20.5,20.3,94,2.1
"Coshocton","OH",36621,49.5,50.5,2.5,23.8,19.2,96.1,1.2
"Crawford","OH",41939,49.5,50.5,2.7,22,20.5,95.7,1.2
"Cuyahoga","OH",1263667,48,52,2.5,20.9,18.1,60.6,29.2
"Darke","OH",51839,49.8,50.2,2.3,24,19.3,96.7,1
"Defiance","OH",38329,50.1,49.9,1.6,23.1,18.5,89.4,1.8
"Delaware","OH",211121,49.9,50.1,1.4,26.1,13.8,84.5,3.6
"Erie","OH",75560,48.9,51.1,2.7,20.5,21.9,83.8,8.9
"Fairfield","OH",157622,50.1,49.9,1.7,24.2,15.7,85,8.2
"Fayette","OH",28897,48.9,51.1,1.7,23.8,17.6,92.5,2.6
"Franklin","OH",1313598,49.1,50.9,1.4,23.4,12,63.5,22.9
"Fulton","OH",42709,49.8,50.2,1.9,23.7,18.1,91.5,0.4
"Gallia","OH",29369,49.4,50.6,2.1,23.1,18.9,93.2,2.1
"Geauga","OH",95408,50,50,2.6,22.9,20.5,95,1.1
"Greene","OH",167043,49.6,50.4,1.7,20.8,17.2,84.1,6.5
"Guernsey","OH",38542,50,50,2,22.1,19.4,94.3,2.1
"Hamilton","OH",826790,48.6,51.4,2,23.1,15.4,66.2,25.4
"Hancock","OH",75139,49.6,50.4,2.5,22.3,17.2,91.3,1.6
"Hardin","OH",30738,49.8,50.2,2.2,22.5,15.9,94.7,1.3
"Harrison","OH",14623,49,51,2.3,21.3,22.4,94.7,3.2
"Henry","OH",27618,49.8,50.2,2.8,23.5,18.5,91.8,0.5
"Highland","OH",43162,49,51,2,24.1,17.9,95.3,1.5
"Hocking","OH",28180,50.4,49.6,1.9,21.9,18.9,95.7,0.7
"Holmes","OH",44166,50.4,49.6,2.1,31.1,13.6,98.2,0.2
"Huron","OH",58583,49.6,50.4,2,24.2,17.2,93.8,1.1
"Jackson","OH",32531,49.2,50.8,1.5,23.9,17.3,96.1,0.7
"Jefferson","OH",65620,49,51,2.5,19.6,21.3,90.6,5.5
"Knox","OH",62399,48.8,51.2,2.4,23,17.9,95.2,0.8
"Lake","OH",232202,49.1,50.9,2.5,20,20,89.1,4.6
"Lawrence","OH",58570,48.8,51.2,1.8,22.1,18.4,94.6,1.4
"Licking","OH",177454,49.3,50.7,1.8,23.3,16.4,89.8,4.1
"Logan","OH",45997,50.2,49.8,1.4,23.1,18.2,93.9,1.7
"Lorain","OH",311737,49.5,50.5,2.2,22.1,18.4,82.6,7.8
"Lucas","OH",431212,48.6,51.4,2,23.2,16.3,70.7,19
"Madison","OH",43947,55,45,1.7,20.5,15.4,88.9,6.1
"Mahoning","OH",229044,49.3,50.7,3.2,20.3,20.8,77.3,14.5
"Marion","OH",65515,53.3,46.7,2.2,21.3,17.7,88.8,5.2
"Medina","OH",181448,49.7,50.3,1.8,22.3,18,94.1,1.3
"Meigs","OH",22361,50.2,49.8,2.9,22.6,19.7,97.2,0.3
"Mercer","OH",42154,50.8,49.2,2.1,26,17.8,96.2,0.6
"Miami","OH",107899,49.8,50.2,1.9,23.3,18.6,92.4,2
"Monroe","OH",13514,50.6,49.4,4,20.6,23.1,96.3,0.8
"Montgomery","OH",536136,48.4,51.6,2.2,22.3,17.8,71.2,20.5
"Morgan","OH",13955,50.1,49.9,1.9,21.2,21.5,91.9,3.5
"Morrow","OH",34892,50.6,49.4,1.3,22.5,17.6,95.7,0.7
"Muskingum","OH",86346,49,51,2.2,22.8,17.5,91.3,3
"Noble","OH",14166,59,41,3.1,18.8,27.6,93.5,4.9
"Ottawa","OH",40479,50.4,49.6,3.1,18.5,25.5,93.7,1.1
"Paulding","OH",18858,50.1,49.9,2.4,23.9,18.5,93.9,0.4
"Perry","OH",35439,50.4,49.6,1.2,23.4,16.7,96.5,0.5
"Pickaway","OH",58458,52.8,47.2,1.5,21.5,15.4,92.7,3.4
"Pike","OH",27271,49.3,50.7,2.7,23.7,17.6,95.2,1
"Portage","OH",161897,49.3,50.7,1.7,18.7,16.7,89.1,4.4
"Preble","OH",41027,49.9,50.1,1.9,22.5,19.1,96.2,0.7
"Putnam","OH",34395,50.3,49.7,2.6,25.7,17.3,93.5,0.6
"Richland","OH",124504,50.9,49.1,2.8,21.9,19.4,85.9,8.3
"Ross","OH",77205,52.5,47.5,1.4,21.4,16.6,89.9,5.6
"Sandusky","OH",59013,50,50,2.1,22.3,18.9,88.7,2.8
"Scioto","OH",74392,49.4,50.6,2.2,21.9,18.1,93.6,2.8
"Seneca","OH",55166,50.3,49.7,2.3,22,17.8,92,3.2
"Shelby","OH",48307,50.5,49.5,1.9,25,16.5,93.4,2
"Stark","OH",374712,48.9,51.1,2.5,21.7,19.4,86.6,7.3
"Summit","OH",540567,48.7,51.3,2.5,21.1,18,76.7,14.3
"Trumbull","OH",202199,48.9,51.1,2.6,20.7,21.4,87.3,7.9
"Tuscarawas","OH",93025,49.6,50.4,2.3,23.2,19.3,96,0.9
"Union","OH",61769,48.4,51.6,1.2,24.8,12.2,89.1,2.5
"Van Wert","OH",28808,49.5,50.5,2.2,23.6,18.7,95,0.8
"Vinton","OH",12853,50.5,49.5,1,22.2,17.5,97.2,0.1
"Warren","OH",239556,50.7,49.3,1.6,24.6,14.4,86.3,3.6
"Washington","OH",59942,49.9,50.1,3,19.9,20.7,95.4,1.4
"Wayne","OH",116858,49.9,50.1,2.2,24.4,17.8,94.3,1.3
"Williams","OH",37026,49.8,50.2,2.4,22.8,18.8,93.8,1.1
"Wood","OH",131930,49.4,50.6,1.7,20.5,15.3,89.9,2
"Wyandot","OH",21933,49.8,50.2,2.5,22.9,19.1,95.6,0.1
"Adair","OK",19839,50.2,49.8,1.5,27,15.6,39.6,0.4
"Alfalfa","OK",5744,60,40,2.6,20.2,19.8,84,3.8
"Atoka","OK",14080,53.1,46.9,2,22.5,19.6,70.8,3.2
"Beaver","OK",5100,50.4,49.6,1.9,26.1,18.7,76.4,0.4
"Beckham","OK",22349,55.2,44.8,1.5,23.4,13.7,82,5.2
"Blaine","OK",8799,55.3,44.7,2.8,22.6,18.5,79.4,4.5
"Bryan","OK",45809,48.9,51.1,2,23.6,17.3,72.1,2.1
"Caddo","OK",27253,52.9,47.1,1.7,25,16.5,61.9,2.4
"Canadian","OK",151174,49.8,50.2,1.2,26.1,13.1,77.9,3.3
"Carter","OK",48102,48.9,51.1,1.8,25.2,16.7,71,6.3
"Cherokee","OK",47307,48.8,51.2,1.6,22.1,16.6,48.5,1.2
"Choctaw","OK",14307,48.2,51.8,1.7,24.5,20.3,61,9.7
"Cimarron","OK",2271,50.5,49.5,2.6,24.7,24.7,90.1,0.2
"Cleveland","OK",292110,50.1,49.9,1.4,21.4,13.6,74.5,5
"Coal","OK",5294,50.7,49.3,2.1,23.8,20.6,67.3,0.4
"Comanche","OK",121502,51.9,48.1,1.4,23.9,12.6,60.2,15.7
"Cotton","OK",5603,50.1,49.9,1.9,23,18.7,79.3,2.1
