"county","state","prop_higher_education","mean_household_income","unemployment","private_insurance","public_insurance","no_insurance","total_population","males","females","old_85","children","old_65","white_pct","black_pct"
"Fillmore","NE","22.2",96007,1.1,78.6,33.5,5.4,5561,49.1,50.9,3.9,20.3,22.8,94.8,0.2
"Franklin","NE","16.5",68946,1,66.4,44.7,6.7,2914,50.4,49.6,5.6,20,26.8,95.8,0.3
"Frontier","NE","24.5",70004,5.1,72,37.9,8.3,2512,53.2,46.8,3.7,19.9,24.9,95.1,1
"Furnas","NE","21.0",70569,1.3,76.6,35.9,7.9,4655,49.8,50.2,3.3,22.8,24.6,96.7,0.4
"Gage","NE","20.2",70457,2.1,72,36.5,6.7,21706,50.7,49.3,4,22.7,20.7,96.2,0.6
"Garden","NE","26.5",70686,3,63.3,43.1,13.4,1726,49.6,50.4,5,20.7,30.7,97.7,0
"Garfield","NE","29.4",67063,0,79.9,34.1,4,1889,50.1,49.9,4.1,21.7,26.2,96.6,0.3
"Gosper","NE","31.0",78875,1.8,71,36.7,7,1811,52.2,47.8,2.4,18.7,27.6,97.7,0.2
"Grant","NE","28.3",68011,0.3,72.1,36,14.1,718,56.1,43.9,3.1,26.3,19.5,98.1,0.4
"Greeley","NE","16.5",62425,1.9,75.8,40.2,5.6,2219,50,50,6,23.4,25.4,96.6,0.6
"Hall","NE","21.7",79345,3.2,68.9,31.9,11.9,62616,50.9,49.1,2.3,27.7,14.9,75.8,3.2
"Hamilton","NE","26.3",85701,4.5,82.3,26.9,6.1,9376,50.8,49.2,2.4,23.9,19.8,95.3,0.2
"Harlan","NE","25.3",79098,2.2,75.6,36.7,7,3216,50.8,49.2,3.9,23.9,24.4,95.1,0.1
"Hayes","NE","18.8",61966,0.5,78.1,31.5,6.3,891,49.8,50.2,4.3,24.7,21.4,96.6,0
"Hitchcock","NE","18.3",66810,1.9,74,39.6,8.1,2630,52.6,47.4,3.3,25,25.2,95.8,0.1
"Holt","NE","26.3",80269,1.2,75.1,35.6,6.8,10175,50.1,49.9,4.4,24.9,21.5,96.2,0.4
"Hooker","NE","26.4",66472,1.8,72.7,37.6,5.3,714,47.2,52.8,5.2,22.4,25.9,92.2,0.6
"Howard","NE","20.2",71629,5.5,80.4,27.3,8,6461,51,49,3.8,24.7,21.1,93.4,0.4
"Jefferson","NE","16.9",65608,1.7,71.9,36.5,9.7,7213,48.3,51.7,3.3,22,23.7,96.1,0.6
"Johnson","NE","18.7",70785,2,76.7,33.1,6.1,5298,61.1,38.9,2.4,19.6,17.8,81.4,5.8
"Kearney","NE","26.9",84537,1.7,78.3,30.3,5.5,6639,49.9,50.1,3.4,26,19.3,95.5,0
"Keith","NE","20.2",71849,2.7,71.2,39.5,8.2,8312,50.6,49.4,4.4,21.2,27.6,93.2,1.4
"Keya Paha","NE","27.8",83998,0,75.3,31.3,6,946,51.2,48.8,3.4,24.6,21.8,97.3,0.1
"Kimball","NE","12.7",62732,4.4,58.5,42.3,14.6,3583,52.1,47.9,3.5,20.7,24.1,92.8,0.3
"Knox","NE","18.8",71058,4.1,73.8,39,5.8,8434,49.8,50.2,3.3,24.9,24.4,86.3,0.5
"Lancaster","NE","40.1",87144,3.2,78,26.3,7,320301,50.4,49.6,1.6,22.9,14,84.1,3.8
"Lincoln","NE","21.3",76173,3.5,72.7,33.6,8.9,34906,49.7,50.3,2.4,23.9,19.3,91.6,1.1
"Logan","NE","26.4",69977,0.9,72.8,30.2,9.8,865,54.1,45.9,2,29.5,19.2,91.9,0
"Loup","NE","18.0",56416,0,68.9,37.3,6.5,665,53.7,46.3,1.4,23.6,24.1,87.7,0
"Madison","NE","24.3",77035,3.1,74.8,28.5,8.3,35553,49.8,50.2,2.9,25.6,15.6,86.1,1.3
"McPherson","NE","23.9",71443,0,72.8,38.7,3.6,475,50.9,49.1,1.5,16.8,28.6,98.9,0
"Merrick","NE","16.3",69640,1.2,74.4,33.2,8.2,7687,50.7,49.3,3.3,22.6,21.1,93.9,0.1
"Morrill","NE","19.6",65266,5.7,67.4,33.1,8.2,4595,52.7,47.3,2.5,23.8,20.1,89.2,0.1
"Nance","NE","18.0",72973,4.2,80.7,32.1,4.9,3389,50.4,49.6,3.4,23.8,20.6,95.7,0.6
"Nemaha","NE","29.4",71906,5.6,74.1,32.4,8.6,7025,50.5,49.5,2.7,21.5,20,92.2,1.7
"Nuckolls","NE","22.7",81359,2,72.7,37.4,9.7,4125,49.8,50.2,2.9,20.5,26.7,96.5,0.2
"Otoe","NE","26.4",82708,3.3,77.3,32.7,5.4,15916,51.2,48.8,3.1,24.4,19.6,89.2,0.7
"Pawnee","NE","16.0",61471,3.1,66.9,39.4,13.2,2564,48.5,51.5,4.7,22.6,27.9,96.8,0.2
"Perkins","NE","24.2",73118,1,78.3,35.2,5.5,2865,51.7,48.3,4,24.8,23.5,96.2,0.1
"Phelps","NE","25.8",77018,0.7,78.6,31.5,6,8972,50.4,49.6,3,24.3,20.4,94,0.2
"Pierce","NE","22.7",76784,2.9,81.3,27.2,6.6,7266,50.2,49.8,2.5,25.6,19.1,96.4,0.4
"Platte","NE","23.5",78975,2,75.1,29,10.4,34123,50.9,49.1,2.4,26.4,17.5,87.6,0.8
"Polk","NE","18.1",80707,2.7,71,32.6,10.5,5223,49.1,50.9,4.3,22.9,22.1,94.7,0
"Red Willow","NE","23.6",74678,4.7,75.1,31.5,9.5,10724,49.9,50.1,3.8,24,20.1,93.4,0.4
"Richardson","NE","19.4",65037,3.9,71.4,33.7,10.6,7893,51.3,48.7,4.6,21.2,23.9,92.3,1.3
"Rock","NE","29.6",81955,1.3,70.2,33.7,10.1,1321,52.2,47.8,5.1,22.3,24.5,98.3,0.7
"Saline","NE","18.2",74137,2.7,74.8,26.1,10.1,14395,51.6,48.4,2.1,25.8,14.3,84.3,1
"Sarpy","NE","41.1",106653,2.8,83,22.9,5.4,188464,50.3,49.7,1.3,27.4,11.8,84.4,4.1
"Saunders","NE","29.1",94622,2.4,82.5,26.9,4.7,22008,51,49,2.4,24.8,18.1,96.4,0.9
"Scotts Bluff","NE","25.0",71316,3.5,66.4,34.5,9.9,36229,48.6,51.4,3.3,25.1,19,84.9,0.6
"Seward","NE","30.5",86706,2.6,81.2,26,5.3,17605,51.5,48.5,2.8,23.5,17.2,96,0.6
"Sheridan","NE","20.1",66599,1.6,61.7,43.3,12.9,5150,49.3,50.7,4.8,22.4,25.6,81.8,1.2
"Sherman","NE","20.5",65553,3.4,78.2,36.2,8.1,2986,50.6,49.4,4.9,20.8,27,96.5,0.2
"Sioux","NE","25.5",66775,3.1,60.6,40.6,11.7,1081,51.2,48.8,3.5,22.7,22.1,89,3.6
"Stanton","NE","20.5",84727,1,80.6,28.7,4.9,5877,51.3,48.7,3.1,25.4,18.2,94.4,1
"Thayer","NE","22.7",73014,2.7,73.8,37.9,6.1,5053,49.8,50.2,4.6,23.9,25.2,95,0.2
"Thomas","NE","24.5",72610,0,70.6,38.3,4.6,562,44.5,55.5,0.5,16.9,29.5,93.1,0
"Thurston","NE","18.9",70093,11.3,50.6,39.5,18,6806,49.4,50.6,1,36.5,11.7,36.2,0.2
"Valley","NE","26.3",74770,0.5,70.7,39.6,10,4031,49.3,50.7,1.8,22.3,25,98.2,0.2
"Washington","NE","33.7",103243,2.3,81.3,26.9,4.8,20699,49.6,50.4,1.8,24.2,18.1,95.9,0.9
"Wayne","NE","33.4",72491,2.6,85.9,23.2,3.4,9590,50.4,49.6,2.8,20,16.1,93.9,1.1
"Webster","NE","19.6",75932,2.6,76.9,32.7,6,3442,50.7,49.3,3.6,22.4,22.6,94,0.2
"Wheeler","NE","25.8",67938,0,69.5,39,10.3,735,50.3,49.7,3.8,16.7,31.4,99,0
"York","NE","25.2",89084,3.8,82,32.1,5.5,14164,50.1,49.9,2.5,23.5,19.9,93.4,1.5
"Belknap","NH","31.2",94387,3.6,71.7,38.8,6.6,63395,49.3,50.7,2.8,18.4,22.1,95.3,0.6
"Carroll","NH","37.4",96787,5.7,68,46.1,7.5,49961,50.4,49.6,2.6,15.6,28.5,96,0.5
"Cheshire","NH","33.1",88359,3.6,73.2,34.9,6,76473,49.3,50.7,2.6,18.1,20.1,94.4,0.8
"Coos","NH","20.0",69354,4.5,61.2,48.9,7.8,31360,53.9,46.1,2.6,16.1,23.8,95.5,2.2
"Grafton","NH","42.6",102862,3,72.5,36.4,6.5,91025,49.2,50.8,2.6,16.2,20.8,90.7,1.3
"Hillsborough","NH","39.6",111733,3.9,77.2,28.7,6.2,420504,50,50,1.8,20.4,15.8,86.4,2.8
"Merrimack","NH","35.8",102383,3.6,76.4,32.4,5.7,152983,49.6,50.4,2.1,19.1,18.4,92.7,1.6
"Rockingham","NH","42.8",127764,3.6,82.3,27.4,4.8,312771,49.8,50.2,1.8,19.3,18.1,93,0.9
"Strafford","NH","36.9",98633,3.9,78.2,29.3,5.7,130598,49.3,50.7,1.9,18.4,15.2,90.7,1.1
"Sullivan","NH","29.6",86514,2.9,66.7,40.5,7,43105,50,50,2.3,18.6,21.6,95.7,0.6
"Atlantic","NJ","29.4",92839,8.6,65.1,40.5,7.9,273865,48.7,51.3,2,21.3,18.2,61.7,13.7
"Bergen","NJ","51.2",150403,5.3,77.1,26.2,7,952979,48.9,51.1,2.7,21.3,17.2,66,5.8
"Burlington","NJ","40.0",122850,5.3,80.3,29.7,4.2,460102,49.5,50.5,2.2,20.9,17,69.3,16.8
"Camden","NJ","33.6",100716,7.1,69.4,36.3,6.3,521194,48.5,51.5,1.9,22.9,15.6,60.4,19.1
"Cape May","NJ","35.0",104227,7,74.6,42.2,5.5,95488,49.1,50.9,2.8,17.6,26.8,88.9,3.9
"Cumberland","NJ","17.0",84083,8.1,59.6,44.1,9.5,154921,51.2,48.8,1.9,24.2,15.2,61.1,19.9
"Essex","NJ","36.7",112403,8.6,60.9,35.7,11.6,852720,48.4,51.6,1.9,23.9,13.6,38,38.6
"Gloucester","NJ","34.5",114338,5.6,77.8,30.6,4.5,300821,48.9,51.1,1.9,21.9,15.9,79.8,10.3
"Hudson","NJ","45.7",116135,5.7,61.5,32.5,12,713264,50,50,1.4,20.5,11.9,46.1,12
"Hunterdon","NJ","54.3",160741,4.4,85.4,25.3,2.9,128807,49.8,50.2,2.4,19.3,18.8,87.4,2.9
"Mercer","NJ","43.6",124665,6.3,73.5,31.9,6.9,384951,49.2,50.8,2,21.5,15.3,57.4,20.1
"Middlesex","NJ","44.8",121899,6.1,75.8,27.4,6.8,858770,49.6,50.4,1.9,21.9,15.1,51.4,10.2
"Monmouth","NJ","48.5",150011,5.6,80.8,27.5,5.2,642160,49,51,2.3,21.2,17.7,80,6.6
"Morris","NJ","55.8",164869,5.3,84.2,23.1,4.7,508347,49.5,50.5,2.6,21.1,17,76.9,3.3
"Ocean","NJ","32.2",102046,5.7,69.4,43.1,4.8,630057,48.6,51.4,3.1,24.5,22.2,88.5,3.1
"Passaic","NJ","29.8",103836,7.4,57.3,38.2,12.4,521067,49.1,50.9,1.8,24,14.6,55.7,10.9
"Salem","NJ","23.3",87640,7.6,70.8,40.2,4.5,64752,49.4,50.6,2.7,21.7,18.5,77.8,14.4
"Somerset","NJ","56.1",166503,5.1,82,23.2,5.7,343950,49.2,50.8,2.2,21.8,15.8,60.9,9.7
"Sussex","NJ","38.1",125729,5.4,82.6,27.9,3.6,144492,50.2,49.8,1.7,19.7,17.6,89.2,2.3
"Union","NJ","37.6",126965,6.3,66.8,30.7,11.4,571963,49.2,50.8,1.9,23.6,14.3,48.3,21.1
"Warren","NJ","34.5",103109,5.8,78,31.2,5.7,109354,49.4,50.6,2.6,19.7,18.3,84.5,4.6
"Bernalillo","NM","36.3",78695,5.6,59.9,44.7,8.3,674919,49.2,50.8,2,21.7,16.4,65.6,2.9
"Catron","NM","16.9",47055,7.1,41.4,76.8,10.2,3581,52.2,47.8,9.7,12.9,42.3,91.3,0.4
"Chaves","NM","16.9",65324,5.4,46.7,54.8,10.3,65014,50.2,49.8,2.1,26.2,15.4,74.5,1.5
"Cibola","NM","15.6",64401,8.5,36.5,64.4,11.4,27284,50.2,49.8,1.7,23.4,16.9,44.4,1.6
"Colfax","NM","21.8",53985,4.4,51.5,66.6,6,12406,50.4,49.6,3.5,18.4,27.2,79.3,0.8
"Curry","NM","21.3",65159,8.2,55.6,49.6,8.8,48716,51.6,48.4,1.7,26.6,12.4,62.6,5.3
"De Baca","NM","10.7",49765,10.4,53.1,50,6.3,1873,55,45,1.9,38.7,15.7,48.9,2.6
"Do\u00F1a Ana","NM","30.0",65405,7.4,48.3,52.6,10.6,218157,49.4,50.6,1.7,24.5,15.7,67.6,1.9
"Eddy","NM","16.9",85725,4.3,61.9,39.9,10.1,61096,51.1,48.9,1.8,26.8,14.3,78.2,1.5
"Grant","NM","26.7",59877,9.6,47.1,64.5,4.5,28178,50.2,49.8,3.6,19.7,27.8,80.2,0.9
"Guadalupe","NM","8.5",71402,12.2,45,63.6,7.4,4465,59.3,40.7,3.7,19,19.1,61,1.9
"Harding","NM","25.1",142117,9.5,68.4,40.9,9.3,533,47.3,52.7,4.1,12.9,27,56.3,0
"Hidalgo","NM","18.0",57121,5.9,51.7,55.9,7.5,4214,49,51,1.8,22,22.1,77.6,0.7
"Lea","NM","14.8",80434,7.2,51.8,41.6,13.8,72743,51.6,48.4,1.4,30.4,11,71.5,4.2
"Lincoln","NM","24.4",66430,6.3,52.5,58.4,12.2,20084,47.5,52.5,2.5,17.5,28.9,83.4,0.8
"Los Alamos","NM","68.5",150770,3.1,89.7,24.2,3,19169,51.2,48.8,2.5,22.1,17.4,81.3,1.1
"Luna","NM","12.0",46849,7.5,37.5,67.4,9.1,25282,51.1,48.9,2.6,27,20.3,74.6,1.8
"McKinley","NM","12.2",56484,11,21.4,62.1,21.1,72946,48.5,51.5,1.4,28.7,12.4,11.5,0.5
"Mora","NM","17.1",51182,13.1,47.2,69,3.3,4232,43.9,56.1,2.3,11.5,32.9,57.3,0
"Otero","NM","20.1",61586,9.6,54.7,53.3,9,67298,51.9,48.1,2.2,23.2,17.1,69.6,3.4
"Quay","NM","15.5",48637,4.3,46.5,63.5,8.4,8675,47.1,52.9,3.8,22.8,24.7,75.3,2.5
"Rio Arriba","NM","17.7",63388,6.2,48.5,53.4,9.8,40347,49.4,50.6,2.3,23.2,19.5,41.4,0.6
"Roosevelt","NM","21.8",61638,7.4,48.1,51.2,14.5,19223,50.3,49.7,1.8,24.4,14.3,70,2.3
"San Juan","NM","14.9",64489,8.2,44.4,53.2,13.1,122912,49.7,50.3,1.9,26.4,14.9,47,0.8
"San Miguel","NM","23.9",53784,7.2,48.7,64.3,5.4,27357,49.8,50.2,2.8,18.2,21.9,58.5,1.6
"Sandoval","NM","31.0",86286,7,63.9,44,7.1,147327,49.3,50.7,1.6,23.1,18,65.3,2.2
"Santa Fe","NM","41.1",91563,5.3,58.7,48,10.6,153632,48.7,51.3,2.2,17.8,24.7,74.1,1
"Sierra","NM","19.8",54952,5.8,50.9,70.7,4.6,11512,49.9,50.1,4.4,15.9,35.1,82,0.3
"Socorro","NM","18.2",55650,4.2,48.8,59.8,7.6,16605,52.1,47.9,1.8,22.6,19.6,66.8,0.8
"Taos","NM","32.5",73881,9.9,45.6,60.9,8.4,34322,49.2,50.8,1.4,17.5,26.8,72.1,0.1
"Torrance","NM","15.2",55303,11.4,45.3,58.6,7.8,15150,51.8,48.2,1.1,21.3,21,74.2,2.5
"Union","NM","16.2",57454,8.8,61.9,48.8,10.5,4122,54,46,2.9,20.6,20.9,76.9,1.2
"Valencia","NM","19.4",68805,8.5,57.6,53.3,7.6,75992,50.5,49.5,1.8,23.4,17.9,68.7,1.6
"Carson City","NV","23.1",84897,4.6,65.9,36.9,10.5,57957,51.6,48.4,2.7,20.6,20.2,76.7,2
"Churchill","NV","18.9",75777,6.5,68.9,38.7,9.4,25077,51.6,48.4,1.9,22.4,18.9,79.6,2.4
"Clark","NV","25.8",87879,7.8,63.3,34.7,11.9,2231147,50.1,49.9,1.3,23.2,14.8,53.1,12
"Douglas","NV","31.8",102651,3.8,73.2,41.3,7.1,49158,50.7,49.3,2.7,16.3,29,84.6,0.7
"Elko","NV","16.3",96177,4.6,74.8,24.9,9,53420,52.5,47.5,0.9,26.9,11.8,75.6,1.1
"Esmeralda","NV","19.1",47929,4.9,44.6,51.2,11.1,987,49.2,50.8,1.2,10.3,26,94.3,1.1
"Eureka","NV","11.1",73795,0,68.5,38.5,9.1,1603,49.3,50.7,2.1,31.6,20.9,91.5,0.1
"Humboldt","NV","19.6",86919,4.6,72.5,29.2,11,17218,52.4,47.6,1.1,26.6,15.8,78.5,0.9
"Lander","NV","8.2",93163,10.8,79.8,32.1,5.1,5729,55.9,44.1,1.6,25.8,14.4,90.8,2.4
"Lincoln","NV","15.2",74183,4,63.7,38.8,11,4600,57.4,42.6,1,19.8,20.2,84.9,4.9
"Lyon","NV","15.9",79938,8.1,63.9,42.1,9.1,58029,51.3,48.7,1.5,21.2,20.9,80.5,1.2
"Mineral","NV","13.8",52931,13.1,45.8,53.5,9.8,4552,45.5,54.5,1.7,19.4,26.4,65.6,3.1
"Nye","NV","12.7",65554,9.5,53.2,54.6,10.8,50096,50.9,49.1,2.3,16.8,29.7,77.9,2
"Pershing","NV","10.4",72829,11.9,63.1,36.8,12.5,6668,65.2,34.8,0.8,16.8,15.5,74.8,3.2
"Storey","NV","28.3",93984,5.3,54.7,56.4,7.8,4047,52.9,47.1,2.3,16.9,34.5,84.1,2.4
"Washoe","NV","32.3",100882,5,69.9,31,9.8,479758,50.7,49.3,1.6,21.6,16.4,70.7,2.4
"White Pine","NV","13.4",79173,3.8,71.1,38.1,4.4,9192,60.4,39.6,1.6,18.6,18.2,82,7.3
"Albany","NY","44.3",96639,4.9,76.8,35.2,3,314679,48.6,51.4,2.4,18.5,17,73.7,12.1
"Allegany","NY","22.4",69528,6.7,67.8,43.7,6.1,46654,50.6,49.4,2.5,20.4,19,95,1.9
"Bronx","NY","20.9",64183,11.2,45.9,56.5,7.8,1468262,47.4,52.6,1.7,24.9,13,19.9,34.5
"Broome","NY","28.9",75381,7.5,66.9,45.3,3.9,198591,49.5,50.5,3,19.5,19,84.2,5.3
"Cattaraugus","NY","20.0",66589,6,63,47.4,6.3,77211,50.1,49.9,2.3,22.3,19.3,91,1.4
"Cayuga","NY","22.2",80297,4.5,68.6,42.5,4.2,76644,51.6,48.4,2.4,19.7,19.2,90.1,4
"Chautauqua","NY","23.3",65769,5.4,63.6,48.2,5.2,128042,49.7,50.3,2.9,20.5,20.2,89.8,2.8
"Chemung","NY","23.9",76513,6.1,66.4,45.3,4.3,84456,49.9,50.1,3.2,21.4,18.8,86.9,6
"Chenango","NY","18.3",71001,7,67.1,47.5,3.3,47407,50.2,49.8,2.5,20.9,20.6,95.5,0.7
"Clinton","NY","25.4",78525,4.3,74.5,39.7,3.2,80095,51.7,48.3,1.9,18.1,17,90.4,4
"Columbia","NY","34.9",101134,5.9,69.1,44.1,4.2,61587,50.3,49.7,2.9,17.1,24.2,87,4.1
"Cortland","NY","28.1",78190,5.9,73.2,37.1,3.5,46984,49.3,50.7,1.9,19.2,16.2,93,2
"Delaware","NY","23.0",70305,4.7,61.7,51.4,4.9,44644,50.7,49.3,3.1,16.6,24.6,93.4,1.8
"Dutchess","NY","37.7",115386,5.2,76.6,33.4,4.4,296012,50,50,2.4,18.8,17.7,75.3,10.6
"Erie","NY","35.9",84224,5.1,71,41.2,2.9,949715,48.7,51.3,2.6,20.4,18,76.5,12.8
"Essex","NY","30.5",80720,5.4,71.8,45.1,4.2,37501,52.2,47.8,3.1,16.1,23.5,92.3,3.2
"Franklin","NY","21.6",70923,6.6,65.8,45.7,6.7,47996,54.6,45.4,1.5,19.3,16.9,81.9,5.1
"Fulton","NY","18.2",72350,5.1,62.2,50,4.1,53588,50.1,49.9,2.3,20.4,19.6,92.2,1.5
"Genesee","NY","22.0",77462,4.9,73,40.4,3.2,58387,50.4,49.6,2.4,20.6,18.8,91.2,2.2
"Greene","NY","25.6",83376,3.7,70.2,43.5,4,48026,52.7,47.3,3.5,16.4,22.4,87.4,5.6
"Hamilton","NY","20.5",76043,2.7,67.6,48,4.7,5068,50.6,49.4,2.6,14,31.3,93.2,1
"Herkimer","NY","21.4",74121,5.4,66.3,47,4.7,60596,49.9,50.1,2.7,20.7,20.7,94.4,1.2
"Jefferson","NY","24.3",74606,6,68.8,42,4.9,117634,52.6,47.4,1.5,24.3,13.7,84.8,5.9
"Kings","NY","39.5",103893,7.1,56.2,45.8,6.6,2712360,47.6,52.4,1.8,22.9,14.1,42.1,30.5
"Lewis","NY","18.8",73051,5,67.6,44.2,4.9,26681,50.4,49.6,2.5,23.3,19,95.2,1.6
"Livingston","NY","28.9",82968,4.8,77.2,37.5,3.1,62253,50.8,49.2,2.1,17.8,17.9,91.2,2.8
"Madison","NY","26.2",83710,4.2,71.4,39.8,3.8,68466,49.6,50.4,2.3,19,18.6,92.9,1.5
"Monroe","NY","40.0",88845,5.3,72,39.2,3.2,757332,48.5,51.5,2.4,20.9,17.4,73.9,14.8
"Montgomery","NY","19.2",69600,6.4,59.8,47.9,6.1,49539,49.6,50.4,2.7,23.2,18.5,85,2.9
"Nassau","NY","47.5",166843,4.5,80.5,28.9,4.1,1391678,49.1,50.9,2.8,21.7,17.7,64.6,11.5
"New York","NY","62.6",172695,6.6,70.4,34.2,4.7,1669127,47.6,52.4,2.4,14.5,16.8,53.6,14
"Niagara","NY","26.3",78062,5.8,71.8,43.1,2.7,212808,49,51,2.7,20.2,19.2,86.2,6.8
"Oneida","NY","26.2",80221,4.7,66.1,45.4,3.9,232034,50.2,49.8,2.8,21.4,18.7,83.8,6.1
"Onondaga","NY","36.5",88117,5.9,72.5,39.2,3.4,474621,48.5,51.5,2.4,21.4,17.1,78,10.9
"Ontario","NY","37.5",94319,4,75.1,38.4,3.4,112060,49.2,50.8,2.3,20.1,20.1,91.3,2.3
"Orange","NY","31.4",108990,5.4,69.2,38.4,4.7,398277,50.4,49.6,1.7,25.7,13.9,70.7,11
"Orleans","NY","17.2",73464,6.4,65,45.4,4.7,40588,50.3,49.7,1.9,19.2,17.9,87.8,5.7
"Oswego","NY","20.8",79912,7.1,65.3,44.1,4.2,118019,50.3,49.7,1.9,21.1,16.5,94,1.1
"Otsego","NY","33.3",80038,5.7,72.1,41.4,5,58952,48.8,51.2,2.7,16,21.1,92.2,2
"Putnam","NY","41.5",136752,4.8,80.2,29.7,4.1,97960,50.3,49.7,1.7,19.8,17.7,83.2,3.5
"Queens","NY","33.9",100067,7,58.9,41.5,8.9,2393104,48.8,51.2,2.1,20.2,16,33.6,17.8
"Rensselaer","NY","34.3",92344,5.4,75.2,36.8,3.4,161125,49.7,50.3,2.1,19.5,17.2,84,6.5
"Richmond","NY","34.9",113518,5.5,71.3,35.4,4.1,493194,48.8,51.2,1.9,22,16.3,69.4,10.1
"Rockland","NY","42.0",131861,6,63.6,44.7,4.3,336485,49.4,50.6,2.1,28.8,15.5,69.4,11.5
"Saratoga","NY","42.7",113925,3.6,82.2,31.4,2.7,235010,49.6,50.4,1.9,19.9,18.2,91.3,1.7
"Schenectady","NY","33.3",87640,6.9,71,39.9,3.9,157515,49,51,2.4,21.8,17.1,74,9.8
"Schoharie","NY","23.2",80973,5.8,71.2,45.1,4,29936,50,50,2.6,17.8,22,92.5,1.7
"Schuyler","NY","24.3",72271,5.7,65.4,47.2,4.6,17920,50.4,49.6,2.7,19.2,21.3,95.3,0.9
"Seneca","NY","21.5",76224,3.7,68.8,41.5,8.9,33900,52.7,47.3,2.6,20.1,19.2,89.7,5.2
"St. Lawrence","NY","23.6",69949,6.3,68.9,42.7,5.6,108836,51.3,48.7,2.1,20.3,17.4,92.3,2.7
"Steuben","NY","25.5",77070,6.3,65.5,45.1,5.5,94153,50.2,49.8,2.5,21.7,19.5,93.8,1.6
"Suffolk","NY","38.3",142864,4.8,79.2,30.4,4.2,1522998,49.5,50.5,2.3,21.2,16.9,76.3,7.5
"Sullivan","NY","27.0",85213,8,65.2,45.9,5.4,78230,51.4,48.6,1.5,21.4,18.8,76.8,8.4
"Tioga","NY","25.8",81343,5.9,70.3,43.5,3.1,48567,49.9,50.1,2.5,20.9,20.2,95.4,0.9
"Tompkins","NY","55.3",91552,4.7,78.9,31,3.6,105638,49.7,50.3,1.7,14.4,14.6,79.2,4
"Ulster","NY","34.5",96445,5.1,68.1,41.4,5.4,181862,49.9,50.1,2.4,17.7,19.9,80.1,6
"Warren","NY","33.1",92654,4.2,74.2,41.8,4,65692,49.5,50.5,2.9,18.2,22.5,94.4,1.4
"Washington","NY","20.6",75935,5.7,64.8,46.2,5.2,61504,52.2,47.8,2.5,18.9,19.5,92.2,3
"Wayne","NY","24.4",80307,4.1,70.5,40,5.2,91332,50,50,2.2,21.5,18.9,90.7,2.2
"Westchester","NY","50.6",165797,6.1,75.7,32.1,5.1,999723,48.7,51.3,2.7,22,17.1,59.9,14.6
"Wyoming","NY","18.1",75597,4.1,70.8,41.5,3.8,40679,53.4,46.6,2.2,20.1,18.1,90.2,4.2
"Yates","NY","24.5",76322,3.2,53.6,43.3,17.3,24808,48.3,51.7,2.6,22.7,20.8,96.2,0.8
"Adams","OH","16.0",64474,6.5,53.5,49.5,8.6,27564,50.1,49.9,1.3,24.2,17.8,96.7,0.4
"Allen","OH","19.1",69845,6.1,68.5,39.8,6.6,102462,50.8,49.2,2.2,23.3,17.6,81.5,11.1
"Ashland","OH","22.2",73246,3.6,70.7,36.6,8.6,52658,49.3,50.7,2.3,22.6,18.6,95.8,0.9
"Ashtabula","OH","15.1",65004,7.6,59.2,45.7,9.6,97869,50.6,49.4,2.3,22.2,19.2,91.3,3.7
"Athens","OH","34.1",64958,5.8,71.6,33.2,6,62933,49.7,50.3,1.6,14.6,13.3,90.9,2.5
"Auglaize","OH","20.1",82845,3.3,81.8,29.2,4,46282,49.5,50.5,2.6,24.3,18.1,96.1,0.8
"Belmont","OH","16.0",70378,5.4,66.4,41.3,6,67077,51.5,48.5,2.6,19,20.7,92.7,3.1
"Brown","OH","14.6",73506,4.5,63.3,42.8,7,43694,49.9,50.1,2.4,23.1,18.1,97,0.7
"Butler","OH","31.8",91692,5.2,72.6,31.9,6.2,387830,49.3,50.7,1.8,23.6,14.8,81.7,7.8
"Carroll","OH","14.1",72970,3.6,67.4,39.4,9.4,26866,51,49,2.1,20.6,21.2,96.1,0.8
"Champaign","OH","16.7",74765,5.8,74.3,35.9,4.9,38678,49.9,50.1,1.6,22.3,18.3,93.4,1.9
"Clark","OH","18.9",69009,7.1,63.2,45.8,6.5,136032,48.7,51.3,2.4,22.6,19.3,85.6,8.1
"Clermont","OH","29.5",95073,4.2,72.8,33.5,5.6,207650,49.6,50.4,1.7,23,16.6,93.9,1.3
"Clinton","OH","20.1",74075,6,66.7,41.3,6.2,42046,49.8,50.2,1.8,23.2,16.9,93.6,1.7
"Columbiana","OH","15.7",68108,4.9,64.6,42.1,6.4,102331,50.5,49.5,2.5,20.5,20.3,94,2.1
"Coshocton","OH","17.1",62124,6.9,59.5,45.9,11.2,36621,49.5,50.5,2.5,23.8,19.2,96.1,1.2
"Crawford","OH","15.7",64467,5.7,64.8,44.4,6.5,41939,49.5,50.5,2.7,22,20.5,95.7,1.2
"Cuyahoga","OH","34.4",81542,7.5,64.5,42,5.5,1263667,48,52,2.5,20.9,18.1,60.6,29.2
"Darke","OH","16.7",73406,2.4,70.6,38,7,51839,49.8,50.2,2.3,24,19.3,96.7,1
"Defiance","OH","19.2",80425,5.1,76.8,33.8,6.3,38329,50.1,49.9,1.6,23.1,18.5,89.4,1.8
